"name","type","gender","age","polarity","flag","Prolific_ID","attribute","rating"
"Alecto","madeup","female","old","",0,"614e32be22e681ba114a512f","gender",-28
"Alecto","madeup","female","old","",0,"60fd0efdef17b6e07389abe0","gender",-50
"Alecto","madeup","female","old","",0,"614ed2a2137114aaa589ea00","gender",-30
"Alecto","madeup","female","old","",0,"60fe946e7843f91d9000447f","gender",-33
"Alecto","madeup","female","old","",0,"614f7c18bdb6a375bcd4b876","gender",-22
"Alecto","madeup","female","old","",0,"5f1a2f57db39901281da7701","gender",-23
"Alecto","madeup","female","old","",0,"6152ae8a347374a7054108f7","gender",-34
"Alecto","madeup","female","old","",0,"614e6aae492dda7417a15396","gender",-20
"Alecto","madeup","female","old","",0,"611f0cf0b485a22cd0cb21b4","gender",-30
"Alecto","madeup","female","old","",0,"5b9fe205c97c38000126d567","gender",-32
"Alecto","madeup","female","old","",0,"6150b1a5267d755adcf1ea56","gender",-40
"Alecto","madeup","female","old","",0,"614e006ba119d5247bc3263a","gender",-38
"Alecto","madeup","female","old","",0,"612b4e1172fc99f9a4bb29da","age",19
"Alecto","madeup","female","old","",0,"614de785b8b89e4aba599f03","age",36
"Alecto","madeup","female","old","",0,"6151fc534ec4e9e6eded3415","age",-32
"Alecto","madeup","female","old","",0,"614f3d28edd0d1735962aae3","age",25
"Alecto","madeup","female","old","",0,"6155bb4f5250fc58f16eca99","age",23
"Alecto","madeup","female","old","",0,"614f530d5d0eee9f24bc39c9","age",26
"Alecto","madeup","female","old","",0,"614e3cfbfd78d43d3c578a46","age",-40
"Alecto","madeup","female","old","",0,"61559b7d2964bfefbf37a660","age",22
"Alecto","madeup","female","old","",0,"5b174c183522660001b3d332","age",20
"Alecto","madeup","female","old","",0,"6151fd7aab35f298f202319b","age",17
"Alecto","madeup","female","old","",0,"6150a96e954982c9f5818b40","age",13
"Alecto","madeup","female","old","",0,"60f6838c8ee2dff49ee6ac47","age",37
"Alecto","madeup","female","old","",0,"60fdd59c0bf3c63079c26391","age",-41
"Alecto","madeup","female","old","",0,"61435e549de2fdc8bfd19403","age",11
"Alecto","madeup","female","old","",0,"61539f48d20e1e5f4d9196b2","age",-37
"Alecto","madeup","female","old","",0,"615210cc5d66c061e40fec47","age",-1
"Alecto","madeup","female","old","",0,"614e2a9902f2ec21b18410ce","age",-20
"Alecto","madeup","female","old","",0,"615640f2b2982714903b2478","age",20
"Alecto","madeup","female","old","",0,"5c55c45f53fba80001bcf323","age",31
"Alecto","madeup","female","old","",0,"61509b08e90ae2ef4ecad5ac","age",-30
"Alecto","madeup","female","old","",0,"614fd4b3671ea11a11a6dc0e","age",13
"Alecto","madeup","female","old","",0,"6109af1e20b4297d97ff0bc8","age",-14
"Alecto","madeup","female","old","",0,"5d3df9b23bf3780015abf56f","age",13
"Alecto","madeup","female","old","",0,"614fa15c0f4a7cbe8a3b1df8","age",44
"Alecto","madeup","female","old","",0,"614ff5087d00000408f278d5","age",15
"Alecto","madeup","female","old","",0,"614df83ba3a4826a6136ff73","age",-7
"Alecto","madeup","female","old","",0,"614f4b52dd9b35160ab95af5","age",-32
"Alecto","madeup","female","old","",0,"615121c3ef00673348f1cf5c","age",-10
"Alecto","madeup","female","old","",0,"6151da3e3db6da9745585c1b","age",26
"Alecto","madeup","female","old","",0,"614f548728318a7cd715fe22","age",9
"Alecto","madeup","female","old","",0,"614db383f10a163b30d8d45d","age",-30
"Alecto","madeup","female","old","",0,"61554525c24e44e0424f9425","age",-11
"Alice","real","female","young","",0,"614de785b8b89e4aba599f03","gender",50
"Alice","real","female","young","",0,"5749537f5e5491000f3c1e33","gender",50
"Alice","real","female","young","",0,"6143643c1426f23202bf892f","gender",46
"Alice","real","female","young","",0,"5fbc7c8b02bb0c14bfbe08ef","gender",40
"Alice","real","female","young","",0,"614e19f81aaf1bf6df136231","gender",50
"Alice","real","female","young","",0,"615484ff516b4ee1b698f33b","gender",50
"Alice","real","female","young","",0,"614e12abbc34f9b934e63253","gender",50
"Alice","real","female","young","",0,"614f782355ca9ac6ff8d1a0c","gender",50
"Alice","real","female","young","",0,"6151ca50de1738d0a1e4af9c","gender",50
"Alice","real","female","young","",0,"614e3cfbfd78d43d3c578a46","gender",50
"Alice","real","female","young","",0,"61114381e2253fd0d5ab8391","gender",39
"Alice","real","female","young","",0,"614d218f946f996c7e2ef6fa","gender",50
"Alice","real","female","young","",0,"5c37cc8e4c5b7c00019537e7","gender",49
"Alice","real","female","young","",0,"614e3704c2bc0a778c6f9fc1","gender",50
"Alice","real","female","young","",0,"6150a96e954982c9f5818b40","gender",49
"Alice","real","female","young","",0,"614e705c79d1b3fab0570094","gender",50
